place,count,amount,users,category,lat,lng,address,place_url,subtype
뒷골면옥,1,242000,의회사무과장,음식점,37.45303464213377,127.001871592543,경기 과천시 뒷골2로 3,http://place.map.kakao.com/23737966,한식
갤러리카페봄,1,240000,의장,카페,37.41600525558689,126.98286122202735,경기 과천시 가일로 15-3,http://place.map.kakao.com/10385100,카페
과천 해신탕,1,226000,의회사무과장,음식점,37.42870074432076,126.99319168770072,경기 과천시 별양상가1로 31,http://place.map.kakao.com/26584479,한식
서울 원조 감자탕 뼈,1,207000,의장,음식점,,,,,한식
과천해물마당,1,200000,의회사무과장,음식점,37.42695900329097,126.99199652057881,경기 과천시 별양상가1로 10,http://place.map.kakao.com/20894860,한식
어울더울생고기,1,198000,의장,음식점,37.409432454841394,126.99303755619513,경기 과천시 제비울길 43,http://place.map.kakao.com/17363323,한식
애슐리퀸즈,1,181300,의장,음식점,37.41438761268767,126.98081925975137,경기 과천시 과천대로7가길 20,http://place.map.kakao.com/706098422,뷔페
통나무집,1,160000,의회사무과장,음식점,37.4289799546978,126.99156471151824,경기 과천시 새술막길 38,http://place.map.kakao.com/9567240,한식
감나무집,1,160000,의장,음식점,37.47798612642834,126.95102395198951,서울 관악구 관악로11길 20,http://place.map.kakao.com/8142194,한식
할리스커피,1,155200,부의장,카페,37.414184883373004,126.98081931144665,경기 과천시 과천대로7가길 20,http://place.map.kakao.com/148751579,카페
부팔라,1,150000,의회사무과장,음식점,37.430174626686714,126.99055449607054,경기 과천시 관문로 92,http://place.map.kakao.com/953501307,한식
신가네광양불고기,1,134000,의장,음식점,37.4525697263394,127.001351697359,경기 과천시 뒷골로 4,http://place.map.kakao.com/20557155,한식
오렌지힐,1,129900,의장,카페,37.4160306856619,126.994252429995,경기 과천시 구리안로 83,http://place.map.kakao.com/2032309232,카페
문원식당,1,128000,부의장,음식점,37.4112274882303,126.99914153414123,경기 과천시 매봉로 72,http://place.map.kakao.com/231934577,한식
엘올리보,1,126500,부의장,음식점,37.45404106704044,127.00226379836575,경기 과천시 뒷골2로 16-1,http://place.map.kakao.com/14527769,양식
관악관,1,112000,부의장,음식점,37.42959798444258,126.99066190297003,경기 과천시 관문로 92,http://place.map.kakao.com/43249847,한식
고릴라과천,1,108000,의회사무과장,음식점,37.428990759103826,126.99145624689734,경기 과천시 새술막길 38,http://place.map.kakao.com/973016633,한식
한양,1,104000,부의장,음식점,37.414815309731246,126.97912472939012,경기 과천시 과천대로7길 26,http://place.map.kakao.com/2146830066,한식
청계산 도토리,1,103000,부의장,음식점,37.4135636825673,126.993997329936,경기 과천시 매봉로 15,http://place.map.kakao.com/661237539,한식
